AU0001,Alfonso,Días Vera,España,ACTIVO
AU0002,Alfonso,López Quintas,España,ACTIVO
AU0003,Alfredo,Alvar Ezquerra,España,ACTIVO
AU0004,Alister,McGrath,Reino Unido,ACTIVO
AU0005,Álvaro Abellán,García Barrio,España,ACTIVO
AU0006,Ángel,Barahona Plaza,España,ACTIVO
AU0007,Ángel,Sánchez Palencia,España,ACTIVO
AU0008,Antonio,Herrero Serrano,España,ACTIVO
AU0009,Antonio,Vieira,Portugal,ACTIVO
AU0010,Arsenio,Alonso,España,ACTIVO
AU0011,Beatriz,Vila Ramos,España,ACTIVO
AU0012,Belén,Naajas Josa,Portugal,ACTIVO
AU0013,Carlos,Corral Salvador,España,ACTIVO
AU0014,Carlos,del Castillo Peces,España,ACTIVO
AU0015,Carlos,Echeverría Jesús,España,ACTIVO
AU0016,Carmen,de la Calle Maldonado,España,ACTIVO
AU0017,Consuelo,Martínez Moraga,España,ACTIVO
AU0018,Dietrich,von Hildebrand,Alemania,ACTIVO
AU0019,Eduardo,Zamarro Flores,España,ACTIVO
AU0020,Emilio,Delgado Martos,España,ACTIVO
AU0021,Emilio,Martínez Albesa,España,ACTIVO
AU0022,Enrique,González Sánchez,España,ACTIVO
AU0023,Eulisis,Smith Palacio,Cuba,ACTIVO
AU0024,Evandro,Agazzi,Italia,ACTIVO
AU0025,Fidel,Rodríguez Legendre,Portugal,ACTIVO
AU0026,Francisco A.,Cardells-Martí,Italia,ACTIVO
AU0027,Francisco,Bueno Pimenta,España,ACTIVO
AU0028,Francisco Javier,Gómez Díez,España,ACTIVO
AU0029,Franco,Nembrini,Italia,ACTIVO
AU0030,Gerardo,Trujillo Canellas,España,ACTIVO
AU0031,Giannina,Burlando,Italia,ACTIVO
AU0032,Giuseppe,Fornari,Italia,ACTIVO
AU0033,Gloria,Monedero,Portugal,ACTIVO
AU0034,Gonzalo,Gómez García,España,ACTIVO
AU0035,Holly,Ordway,Reino Unido,ACTIVO
AU0036,Irene,Vázquez Romero,España,ACTIVO
AU0037,Javier,Aranguren,España,ACTIVO
AU0038,Javier,López-Villalta Martínez,España,ACTIVO
AU0039,Javier,Sánchez Cañizares,España,ACTIVO
AU0040,Jennifer,Ristine,Estados Unidos,ACTIVO
AU0041,Jesús,Sánchez Cotobal,España,ACTIVO
AU0042,José Ángel,Agejas Esteban,España,ACTIVO
AU0043,José Antonio,Perea Unceta,España,ACTIVO
AU0044,José Carlos,Abellán,España,ACTIVO
AU0045,José Luis,De Castro Ruano,España,ACTIVO
AU0046,José Luis,Gómez Lega,España,ACTIVO
AU0047,Jose Maria,Peláez Marqués,España,ACTIVO
AU0048,Josef,Seifert,Australia,ACTIVO
AU0049,Juan,Cruz Cruz,España,ACTIVO
AU0050,Juan Jesus,Álvarez Álvarez,España,ACTIVO